
> theandril@0.1.0 art:validate /home/telephoneheater/Work/Theandril-release
> tsx scripts/art.ts validate

map.ruin (BRIEF_READY): PASS 26ef33cbd4b68f3adf0436c0ae52c7d528caf0dc40fa2747949a56e9140dc032
map.watchtower (BRIEF_READY): PASS a71921e2a38dc4aa64c347c326278ca296ff72258688e9695f444b013100617d
monster.quarry_ogre (BRIEF_READY): PASS 275df7fc718895ca22d83c4b3e823fed2119dfd6c3bc668c75ccec6b0bdf0a2a
monster.revenant (BRIEF_READY): PASS 10cbaca1bba92c69f07dc4dd0c5ae2652204fa85fe93c2ea08736683458055cd
monster.slateback (BRIEF_READY): PASS 890b24a6f6afcf86c61e146b19bc3bf56d1f271dfacc8c031232c04a979e7a53
resource.ashglass (BRIEF_READY): PASS 05c945dee7ea08700e0a72367f40c2d73e7602dbd1993e529c7a01efce36c7b8
resource.copper (BRIEF_READY): PASS 03b49ca72bd89d1359c6849f2aaac45e30af63820b23667f70e688460a526c10
resource.grain (BRIEF_READY): PASS b423e2ebe7cbb5e6a6c96ad28aa4ec1a37c532aafa30f26e18c3ae536723e885
resource.horses (BRIEF_READY): PASS d1fbd55b783a1cb22bd24d1aef3679ea1ef5af167b269c7e066613028ccc606e
resource.iron (BRIEF_READY): PASS d7d57565aa30869fd359643b3efaf1c85c3087a0304492238810e95cd8bf8670
resource.salt (BRIEF_READY): PASS 685722f90465aef6310da924fc4069c4fb6907e48dfbd5f7a6653748bc7bc9a2
resource.silver (BRIEF_READY): PASS 11a77557ce29635dedf3c259ea0dc02a030e632e6f5e1449c00d5acb728eea35
resource.timber (BRIEF_READY): PASS 22b733e7e090093f7476f823665f8138990a0261195830c0a0dcbfc7887bf641
settlement.city.ashen_compact (BRIEF_READY): PASS 85a799a679f331d4e0454972d0c7b9657097f9c08dd29ef54b3aad25ca30a2a3
settlement.city.brine_choir (BRIEF_READY): PASS 032bbf8d0b02a2e9c8396a278f4fac77f1b333e5a3b896489d7f2cb8179b0cfd
settlement.city.cairnwing_concord (BRIEF_READY): PASS 66f22cde7e5e0730c0ab28182c645711c0f23b6f7b0f7ca6067cb99a6ab3888a
settlement.city.cinder_march (BRIEF_READY): PASS 1bd85067602642b14eb428977e3a579ddac9680d967d02b53c411085339fe3ef
settlement.city.cistern_assembly (BRIEF_READY): PASS dc549b821f152108f742b7bb89e2e96f1d90f6a2464090d42617e169ac49cac3
settlement.city.emberwake_convocation (BRIEF_READY): PASS 6829703f6aa6a749f7e8405b2a90f37b9029cc09b909d22416ca2f308f5627d3
settlement.city.glass_tide (BRIEF_READY): PASS 1d1c0b71c305f5899428c77e75ba5613b26628edf7eb43c2e8a8ae0c7c83ad6f
settlement.city.iron_covenant (BRIEF_READY): PASS 2c500021c24f8d5c75caf9dbe3ffa3ed634a477fc9deea146fc5e702f27c1008
settlement.city (BRIEF_READY): PASS b5f0030e30658277e316c4b70e3f857e2da958b880d2646f0c6c0af76b3c5aba
